-,-,-
-831, -536, 155
-803, -554, 155
-815, -571, 139
-821, -561, 148
-844, -530, 153
-834, -549, 131
-807, -556, 127
-800, -576, 126
-804, -581, 118
-809, -582, 108
-809, -582, 108
-813, -583, 83
-786, -632, 29
-758, -675, -30
-745, -775, -93
-761, -870, -193
-740, -941, -287
-703, -993, -337
-668, -1057, -348
-620, -1101, -321
-577, -1135, -278
-540, -1162, -227
-514, -1168, -132
-490, -1187, -44
-452, -1161, 55
-402, -1127, 120
-395, -1147, 214
-438, -1122, 307
-413, -1098, 378
-337, -1002, 436
-291, -942, 476
-326, -954, 609
-329, -912, 699
-329, -912, 699
-436, -926, 602
-341, -805, 577
-248, -768, 735
-125, -709, 855
-187, -643, 899
-225, -572, 863
-153, -560, 941
-129, -419, 954
-184, -353, 988
-375, -405, 1109
-603, -431, 1211
-637, -354, 1177
-585, -348, 1080
-589, -416, 874
-589, -416, 874
-681, -490, 665
-721, -551, 556
-707, -567, 561
-671, -560, 616
-650, -532, 630
-679, -555, 620
-690, -577, 660
-670, -608, 689
-,-,-
-788, -592, 167
-791, -572, 183
-809, -580, 183
-807, -575, 160
-780, -604, 154
-780, -604, 154
-772, -623, 119
-771, -672, 62
-752, -714, 20
-730, -729, -36
-720, -752, -87
-700, -818, -137
-693, -857, -167
-682, -851, -175
-670, -848, -172
-691, -898, -182
-695, -934, -178
-684, -968, -108
-647, -938, -66
-615, -930, -2
-615, -930, -2
-581, -953, 20
-611, -1054, 128
-602, -1012, 177
-548, -981, 222
-498, -915, 241
-450, -854, 245
-463, -920, 320
-403, -909, 346
-393, -789, 411
-441, -809, 434
-395, -853, 463
-395, -853, 463
-349, -752, 553
-394, -803, 583
-457, -808, 486
-448, -886, 410
-353, -903, 444
-313, -875, 440
-257, -898, 461
-258, -926, 511
-174, -841, 640
-78, -724, 813
-65, -541, 1005
-65, -541, 1005
-212, -428, 1254
-396, -270, 1441
-439, -185, 1479
-378, -248, 1279
-411, -341, 957
-504, -477, 705
-618, -586, 589
-666, -621, 572
-653, -575, 588
-638, -575, 549
-624, -561, 555
-636, -566, 601
-627, -561, 641
-627, -561, 641
-600, -534, 701
-555, -477, 822
-513, -460, 919
-,-,-
-746, -628, 233
-753, -637, 209
-753, -641, 187
-765, -648, 180
-758, -648, 184
-754, -699, 158
-754, -699, 158
-734, -750, 85
-699, -783, 17
-675, -850, -73
-665, -1008, -150
-650, -1151, -281
-614, -1204, -363
-582, -1177, -344
-548, -1103, -260
-489, -1066, -128
-489, -1033, 6
-542, -1039, 83
-562, -1022, 126
-529, -976, 191
-511, -877, 282
-553, -909, 378
-531, -873, 415
-518, -828, 440
-411, -782, 491
-411, -782, 491
-534, -801, 529
-519, -828, 551
-405, -753, 584
-400, -654, 612
-419, -628, 519
-498, -761, 430
-432, -806, 405
-442, -845, 382
-392, -840, 342
-341, -803, 354
-276, -773, 414
-276, -773, 414
-234, -727, 467
-189, -673, 542
-227, -618, 703
-328, -583, 1006
-458, -430, 1290
-438, -236, 1383
-430, -239, 1217
-475, -400, 878
-557, -536, 636
-633, -581, 577
-662, -595, 586
-669, -573, 634
-667, -525, 664
-667, -525, 664
-644, -515, 646
-649, -551, 629
-656, -596, 583
-665, -603, 610
-632, -584, 673
-,-,-
-741, -681, 145
